type,bits,sample,iterations
collision,8,0,27
collision,8,1,19
collision,8,2,14
collision,8,3,29
collision,8,4,5
collision,8,5,38
collision,8,6,29
collision,8,7,22
collision,8,8,19
collision,8,9,14
collision,8,10,27
collision,8,11,12
collision,8,12,37
collision,8,13,52
collision,8,14,21
collision,8,15,18
collision,8,16,17
collision,8,17,22
collision,8,18,9
collision,8,19,21
collision,8,20,25
collision,8,21,32
collision,8,22,19
collision,8,23,25
collision,8,24,36
collision,8,25,15
collision,8,26,14
collision,8,27,25
collision,8,28,30
collision,8,29,27
collision,8,30,10
collision,8,31,21
collision,8,32,26
collision,8,33,11
collision,8,34,23
collision,8,35,18
collision,8,36,26
collision,8,37,21
collision,8,38,31
collision,8,39,19
collision,8,40,52
collision,8,41,27
collision,8,42,20
collision,8,43,31
collision,8,44,10
collision,8,45,16
collision,8,46,11
collision,8,47,30
collision,8,48,8
collision,8,49,25
preimage,8,0,233
preimage,8,1,60
preimage,8,2,298
preimage,8,3,172
preimage,8,4,43
preimage,8,5,392
preimage,8,6,208
preimage,8,7,57
preimage,8,8,123
preimage,8,9,144
preimage,8,10,63
preimage,8,11,257
preimage,8,12,136
preimage,8,13,138
preimage,8,14,100
preimage,8,15,14
preimage,8,16,579
preimage,8,17,75
preimage,8,18,34
preimage,8,19,113
preimage,8,20,1828
preimage,8,21,123
preimage,8,22,81
preimage,8,23,79
preimage,8,24,44
preimage,8,25,240
preimage,8,26,32
preimage,8,27,249
preimage,8,28,55
preimage,8,29,156
preimage,8,30,402
preimage,8,31,18
preimage,8,32,327
preimage,8,33,723
preimage,8,34,251
preimage,8,35,499
preimage,8,36,585
preimage,8,37,27
preimage,8,38,157
preimage,8,39,37
preimage,8,40,174
preimage,8,41,353
preimage,8,42,91
preimage,8,43,200
preimage,8,44,239
preimage,8,45,624
preimage,8,46,478
preimage,8,47,30
preimage,8,48,573
preimage,8,49,260
collision,10,0,25
collision,10,1,50
collision,10,2,30
collision,10,3,37
collision,10,4,52
collision,10,5,16
collision,10,6,35
collision,10,7,31
collision,10,8,51
collision,10,9,17
collision,10,10,67
collision,10,11,54
collision,10,12,13
collision,10,13,24
collision,10,14,51
collision,10,15,40
collision,10,16,16
collision,10,17,25
collision,10,18,28
collision,10,19,105
collision,10,20,49
collision,10,21,32
collision,10,22,36
collision,10,23,34
collision,10,24,16
collision,10,25,21
collision,10,26,46
collision,10,27,9
collision,10,28,61
collision,10,29,23
collision,10,30,20
collision,10,31,31
collision,10,32,12
collision,10,33,65
collision,10,34,18
collision,10,35,41
collision,10,36,70
collision,10,37,9
collision,10,38,43
collision,10,39,65
collision,10,40,44
collision,10,41,25
collision,10,42,61
collision,10,43,30
collision,10,44,73
collision,10,45,16
collision,10,46,41
collision,10,47,47
collision,10,48,20
collision,10,49,28
preimage,10,0,2656
preimage,10,1,199
preimage,10,2,107
preimage,10,3,79
preimage,10,4,1147
preimage,10,5,2406
preimage,10,6,2803
preimage,10,7,1117
preimage,10,8,83
preimage,10,9,1419
preimage,10,10,597
preimage,10,11,42
preimage,10,12,865
preimage,10,13,2185
preimage,10,14,763
preimage,10,15,2587
preimage,10,16,643
preimage,10,17,2
preimage,10,18,25
preimage,10,19,797
preimage,10,20,193
preimage,10,21,932
preimage,10,22,120
preimage,10,23,268
preimage,10,24,7
preimage,10,25,1677
preimage,10,26,117
preimage,10,27,1200
preimage,10,28,561
preimage,10,29,1177
preimage,10,30,1836
preimage,10,31,1197
preimage,10,32,379
preimage,10,33,426
preimage,10,34,135
preimage,10,35,737
preimage,10,36,851
preimage,10,37,69
preimage,10,38,2468
preimage,10,39,1844
preimage,10,40,1847
preimage,10,41,53
preimage,10,42,1085
preimage,10,43,1693
preimage,10,44,19
preimage,10,45,250
preimage,10,46,286
preimage,10,47,246
preimage,10,48,507
preimage,10,49,302
collision,12,0,86
collision,12,1,82
collision,12,2,145
collision,12,3,66
collision,12,4,100
collision,12,5,96
collision,12,6,35
collision,12,7,58
collision,12,8,164
collision,12,9,71
collision,12,10,13
collision,12,11,48
collision,12,12,30
collision,12,13,42
collision,12,14,55
collision,12,15,12
collision,12,16,48
collision,12,17,162
collision,12,18,15
collision,12,19,142
collision,12,20,31
collision,12,21,70
collision,12,22,48
collision,12,23,71
collision,12,24,112
collision,12,25,71
collision,12,26,100
collision,12,27,123
collision,12,28,50
collision,12,29,104
collision,12,30,80
collision,12,31,31
collision,12,32,135
collision,12,33,115
collision,12,34,140
collision,12,35,84
collision,12,36,111
collision,12,37,101
collision,12,38,95
collision,12,39,48
collision,12,40,50
collision,12,41,36
collision,12,42,86
collision,12,43,94
collision,12,44,100
collision,12,45,59
collision,12,46,23
collision,12,47,36
collision,12,48,146
collision,12,49,31
preimage,12,0,4194
preimage,12,1,915
preimage,12,2,2565
preimage,12,3,1150
preimage,12,4,6005
preimage,12,5,3627
preimage,12,6,2333
preimage,12,7,745
preimage,12,8,473
preimage,12,9,1758
preimage,12,10,7777
preimage,12,11,4009
preimage,12,12,13322
preimage,12,13,3588
preimage,12,14,1435
preimage,12,15,5716
preimage,12,16,1721
preimage,12,17,978
preimage,12,18,474
preimage,12,19,1197
preimage,12,20,6260
preimage,12,21,25
preimage,12,22,2341
preimage,12,23,9806
preimage,12,24,6522
preimage,12,25,17199
preimage,12,26,4095
preimage,12,27,12535
preimage,12,28,3708
preimage,12,29,1665
preimage,12,30,398
preimage,12,31,36
preimage,12,32,242
preimage,12,33,4687
preimage,12,34,4167
preimage,12,35,13032
preimage,12,36,4872
preimage,12,37,12142
preimage,12,38,777
preimage,12,39,3800
preimage,12,40,2466
preimage,12,41,499
preimage,12,42,6235
preimage,12,43,887
preimage,12,44,937
preimage,12,45,3940
preimage,12,46,3982
preimage,12,47,181
preimage,12,48,1363
preimage,12,49,4484
collision,14,0,352
collision,14,1,165
collision,14,2,138
collision,14,3,228
collision,14,4,209
collision,14,5,148
collision,14,6,201
collision,14,7,112
collision,14,8,301
collision,14,9,25
collision,14,10,88
collision,14,11,39
collision,14,12,26
collision,14,13,37
collision,14,14,161
collision,14,15,59
collision,14,16,284
collision,14,17,248
collision,14,18,138
collision,14,19,115
collision,14,20,147
collision,14,21,184
collision,14,22,209
collision,14,23,149
collision,14,24,95
collision,14,25,244
collision,14,26,196
collision,14,27,95
collision,14,28,142
collision,14,29,115
collision,14,30,162
collision,14,31,145
collision,14,32,162
collision,14,33,100
collision,14,34,68
collision,14,35,107
collision,14,36,65
collision,14,37,325
collision,14,38,201
collision,14,39,147
collision,14,40,236
collision,14,41,204
collision,14,42,163
collision,14,43,177
collision,14,44,99
collision,14,45,112
collision,14,46,140
collision,14,47,64
collision,14,48,139
collision,14,49,42
preimage,14,0,14563
preimage,14,1,13580
preimage,14,2,6062
preimage,14,3,33414
preimage,14,4,1641
preimage,14,5,54610
preimage,14,6,32824
preimage,14,7,40063
preimage,14,8,34709
preimage,14,9,14831
preimage,14,10,5118
preimage,14,11,13033
preimage,14,12,3501
preimage,14,13,836
preimage,14,14,7516
preimage,14,15,5111
preimage,14,16,4414
preimage,14,17,19326
preimage,14,18,16454
preimage,14,19,9785
preimage,14,20,11878
preimage,14,21,10405
preimage,14,22,3046
preimage,14,23,4562
preimage,14,24,22515
preimage,14,25,3479
preimage,14,26,28316
preimage,14,27,21584
preimage,14,28,905
preimage,14,29,829
preimage,14,30,4698
preimage,14,31,13571
preimage,14,32,12687
preimage,14,33,19439
preimage,14,34,45340
preimage,14,35,18599
preimage,14,36,48408
preimage,14,37,2081
preimage,14,38,5165
preimage,14,39,481
preimage,14,40,29903
preimage,14,41,18033
preimage,14,42,889
preimage,14,43,14588
preimage,14,44,1906
preimage,14,45,984
preimage,14,46,4452
preimage,14,47,4768
preimage,14,48,3955
preimage,14,49,16143
collision,16,0,393
collision,16,1,349
collision,16,2,10
collision,16,3,221
collision,16,4,814
collision,16,5,295
collision,16,6,357
collision,16,7,353
collision,16,8,903
collision,16,9,381
collision,16,10,641
collision,16,11,162
collision,16,12,489
collision,16,13,374
collision,16,14,379
collision,16,15,215
collision,16,16,635
collision,16,17,271
collision,16,18,402
collision,16,19,261
collision,16,20,458
collision,16,21,218
collision,16,22,154
collision,16,23,190
collision,16,24,91
collision,16,25,392
collision,16,26,332
collision,16,27,160
collision,16,28,515
collision,16,29,352
collision,16,30,84
collision,16,31,278
collision,16,32,231
collision,16,33,186
collision,16,34,248
collision,16,35,438
collision,16,36,461
collision,16,37,43
collision,16,38,664
collision,16,39,201
collision,16,40,366
collision,16,41,286
collision,16,42,254
collision,16,43,448
collision,16,44,757
collision,16,45,416
collision,16,46,656
collision,16,47,446
collision,16,48,196
collision,16,49,483
preimage,16,0,155139
preimage,16,1,21780
preimage,16,2,13351
preimage,16,3,21833
preimage,16,4,120054
preimage,16,5,2428
preimage,16,6,57691
preimage,16,7,11479
preimage,16,8,35540
preimage,16,9,293120
preimage,16,10,132743
preimage,16,11,27604
preimage,16,12,46933
preimage,16,13,148820
preimage,16,14,38841
preimage,16,15,36084
preimage,16,16,67798
preimage,16,17,49889
preimage,16,18,126535
preimage,16,19,6148
preimage,16,20,17631
preimage,16,21,15672
preimage,16,22,17605
preimage,16,23,6089
preimage,16,24,27500
preimage,16,25,38152
preimage,16,26,28264
preimage,16,27,1821
preimage,16,28,54591
preimage,16,29,163735
preimage,16,30,45142
preimage,16,31,47947
preimage,16,32,24752
preimage,16,33,64245
preimage,16,34,121965
preimage,16,35,17277
preimage,16,36,87389
preimage,16,37,152267
preimage,16,38,43553
preimage,16,39,58041
preimage,16,40,14016
preimage,16,41,5035
preimage,16,42,11735
preimage,16,43,66969
preimage,16,44,36388
preimage,16,45,104352
preimage,16,46,37692
preimage,16,47,34236
preimage,16,48,88645
preimage,16,49,95773
collision,18,0,358
collision,18,1,1086
collision,18,2,616
collision,18,3,705
collision,18,4,482
collision,18,5,1036
collision,18,6,1004
collision,18,7,1498
collision,18,8,517
collision,18,9,512
collision,18,10,411
collision,18,11,225
collision,18,12,483
collision,18,13,413
collision,18,14,489
collision,18,15,664
collision,18,16,577
collision,18,17,562
collision,18,18,513
collision,18,19,711
collision,18,20,652
collision,18,21,530
collision,18,22,829
collision,18,23,508
collision,18,24,352
collision,18,25,385
collision,18,26,573
collision,18,27,697
collision,18,28,810
collision,18,29,251
collision,18,30,55
collision,18,31,426
collision,18,32,445
collision,18,33,1111
collision,18,34,518
collision,18,35,648
collision,18,36,1367
collision,18,37,689
collision,18,38,633
collision,18,39,615
collision,18,40,737
collision,18,41,396
collision,18,42,1050
collision,18,43,894
collision,18,44,287
collision,18,45,401
collision,18,46,729
collision,18,47,912
collision,18,48,524
collision,18,49,392
preimage,18,0,232246
preimage,18,1,81162
preimage,18,2,79904
preimage,18,3,111913
preimage,18,4,171921
preimage,18,5,46327
preimage,18,6,175894
preimage,18,7,33599
preimage,18,8,41467
preimage,18,9,1287053
preimage,18,10,190479
preimage,18,11,61523
preimage,18,12,37907
preimage,18,13,519391
preimage,18,14,51171
preimage,18,15,952442
preimage,18,16,525263
preimage,18,17,34478
preimage,18,18,198565
preimage,18,19,436144
preimage,18,20,325634
preimage,18,21,85527
preimage,18,22,152854
preimage,18,23,117214
preimage,18,24,56360
preimage,18,25,18593
preimage,18,26,10761
preimage,18,27,69801
preimage,18,28,319854
preimage,18,29,354614
preimage,18,30,210506
preimage,18,31,105096
preimage,18,32,121134
preimage,18,33,237874
preimage,18,34,43696
preimage,18,35,323200
preimage,18,36,19085
preimage,18,37,143888
preimage,18,38,65989
preimage,18,39,69241
preimage,18,40,442073
preimage,18,41,152841
preimage,18,42,69776
preimage,18,43,227856
preimage,18,44,25404
preimage,18,45,400479
preimage,18,46,172832
preimage,18,47,289016
preimage,18,48,122237
preimage,18,49,682430
collision,20,0,466
collision,20,1,654
collision,20,2,745
collision,20,3,865
collision,20,4,689
collision,20,5,1801
collision,20,6,2286
collision,20,7,533
collision,20,8,1066
collision,20,9,1085
collision,20,10,800
collision,20,11,1472
collision,20,12,1010
collision,20,13,1062
collision,20,14,3247
collision,20,15,863
collision,20,16,359
collision,20,17,2324
collision,20,18,759
collision,20,19,212
collision,20,20,1687
collision,20,21,2573
collision,20,22,1817
collision,20,23,738
collision,20,24,447
collision,20,25,668
collision,20,26,2606
collision,20,27,1093
collision,20,28,2150
collision,20,29,888
collision,20,30,1364
collision,20,31,894
collision,20,32,907
collision,20,33,1557
collision,20,34,562
collision,20,35,1785
collision,20,36,1122
collision,20,37,413
collision,20,38,1326
collision,20,39,366
collision,20,40,842
collision,20,41,441
collision,20,42,342
collision,20,43,2185
collision,20,44,1262
collision,20,45,3005
collision,20,46,982
collision,20,47,1432
collision,20,48,1155
collision,20,49,1720
preimage,20,0,620034
preimage,20,1,375027
preimage,20,2,943987
preimage,20,3,1807472
preimage,20,4,1232687
preimage,20,5,448633
preimage,20,6,563658
preimage,20,7,1789740
preimage,20,8,233434
preimage,20,9,581499
preimage,20,10,959433
preimage,20,11,2314573
preimage,20,12,673586
preimage,20,13,3444399
preimage,20,14,2122580
preimage,20,15,676911
preimage,20,16,418319
preimage,20,17,26513
preimage,20,18,662364
preimage,20,19,1192123
preimage,20,20,730574
preimage,20,21,36712
preimage,20,22,788148
preimage,20,23,494749
preimage,20,24,716675
preimage,20,25,514595
preimage,20,26,1353636
preimage,20,27,1874149
preimage,20,28,1495900
preimage,20,29,959649
preimage,20,30,223861
preimage,20,31,801010
preimage,20,32,513082
preimage,20,33,1291836
preimage,20,34,1151938
preimage,20,35,1328170
preimage,20,36,1176430
preimage,20,37,1530431
preimage,20,38,110554
preimage,20,39,233884
preimage,20,40,1635777
preimage,20,41,1354631
preimage,20,42,2626060
preimage,20,43,1862102
preimage,20,44,316469
preimage,20,45,1584115
preimage,20,46,1074386
preimage,20,47,891729
preimage,20,48,116559
preimage,20,49,866245
collision,22,0,4284
collision,22,1,4074
collision,22,2,1630
collision,22,3,2230
collision,22,4,3124
collision,22,5,1969
collision,22,6,3749
collision,22,7,2325
collision,22,8,2441
collision,22,9,2931
collision,22,10,3242
collision,22,11,2175
collision,22,12,3914
collision,22,13,659
collision,22,14,1977
collision,22,15,1016
collision,22,16,1133
collision,22,17,2564
collision,22,18,2581
collision,22,19,1933
collision,22,20,2416
collision,22,21,1146
collision,22,22,3425
collision,22,23,2141
collision,22,24,2222
collision,22,25,2498
collision,22,26,1398
collision,22,27,1786
collision,22,28,2093
collision,22,29,1209
collision,22,30,3225
collision,22,31,2581
collision,22,32,2738
collision,22,33,4075
collision,22,34,1459
collision,22,35,2061
collision,22,36,2097
collision,22,37,1644
collision,22,38,1030
collision,22,39,739
collision,22,40,1599
collision,22,41,3865
collision,22,42,1926
collision,22,43,3506
collision,22,44,4641
collision,22,45,1745
collision,22,46,2876
collision,22,47,4443
collision,22,48,639
collision,22,49,1158
preimage,22,0,2162517
preimage,22,1,4173562
preimage,22,2,5760601
preimage,22,3,4728666
preimage,22,4,7315252
preimage,22,5,18344458
preimage,22,6,980315
preimage,22,7,2578666
preimage,22,8,6979163
preimage,22,9,1307939
preimage,22,10,5341275
preimage,22,11,9785475
preimage,22,12,1039261
preimage,22,13,1846467
preimage,22,14,1960741
preimage,22,15,3694617
preimage,22,16,838110
preimage,22,17,5048965
preimage,22,18,5399067
preimage,22,19,2162684
preimage,22,20,2009558
preimage,22,21,13760420
preimage,22,22,6079696
preimage,22,23,345884
preimage,22,24,1352000
preimage,22,25,9628448
preimage,22,26,6717180
preimage,22,27,2215089
preimage,22,28,2800423
preimage,22,29,3485801
preimage,22,30,3934908
preimage,22,31,2397963
preimage,22,32,5577838
preimage,22,33,6566413
preimage,22,34,6327715
preimage,22,35,4078344
preimage,22,36,3344704
preimage,22,37,11807677
preimage,22,38,8611552
preimage,22,39,2827309
preimage,22,40,915434
preimage,22,41,10976176
preimage,22,42,7342773
preimage,22,43,2825218
preimage,22,44,119093
preimage,22,45,12459664
preimage,22,46,10532858
preimage,22,47,4427830
preimage,22,48,14130716
preimage,22,49,5035054
